logo_path,name,link,status,usd_raised,month,year,token_sale_price,current_token_price,token_return,roi,erc20,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1502230768/PirSXPeP_400x400_ka4cfl.jpg,Tezos,https://www.tezos.com/static/papers/position_paper.pdf,Completed,230498884,17-Jul,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501607740/eos_ojxwuj.png,EOS,https://github.com/EOSIO/Documentation/blob/master/TechnicalWhitePaper.md,Active,200000000,18-Jun,2017,,,,BLUE,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501607860/9Nt4fRLR_400x400_nhvd3t.jpg,The Bancor Protocol,https://drive.google.com/file/d/0B3HPNP-GDn7aLXFWOFpTZEgyaEk/view,Completed,153000000,17-Jun,2017,3.86,1.8,0.47x,RED,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501607930/the-dao-logo_ke5f0k.png,The Dao,,Failed,150000000,16-May,2016,,,,RED,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1502230599/Statustransparent_v4cqx1.png,Status,https://wiki.status.im/,Completed,107664904,17-Jun,2017,0.04,0.05,1.47x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501608122/TenX-ICO-LIST_kfim2n.png,TenX,https://www.tenx.tech/whitepaper/tenx_whitepaper_final.pdf,Completed,83110818,17-Jun,2017,0.81,0.9,1.12x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501608367/mOaoxFd_kplcph.png,Basic Attention Token,https://basicattentiontoken.org/wp-content/uploads/2017/03/BasicAttentionTokenWhitePaper_032117.pdf,Completed,36000000,17-May,2017,0.04,0.11,3.03x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501608651/sonm_hypfaf.png,SONM,http://sonm.io/Sonm1.pdf,Completed,35000000,17-Jun,2017,0.11,0.04,0.39x,RED,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501608715/948481-0ecc911aefe6e316569ecd55f651dd72-medium_jpg_ahn5r2.jpg,Civic,https://tokensale.civic.com/CivicTokenSaleWhitePaper.pdf,Completed,33000000,17-Jun,2017,0.1,0.17,1.68x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501608774/polybius_zatgop.png,Polybius,,Completed,31645088,17-Jul,2017,8.67,4.1,0.47x,RED,FALSE,
